"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"ktversie","integer",1041,0,9,4.92987512007685,5,5,NA,2.52675698272996,NA,1,9,8,0.0584882052246971,0.385755851082717,-1.16877386593129,-3.85796882264934,NA,NA
"kt_slider_personal_senior","numeric",1041,0,190,0.142423722611042,0.085714285714286,0.085714285714286,NA,0.18763078283946,NA,0,1,1,2.02602593019545,13.3625464145407,5.14575610862061,16.9854641814713,NA,NA
"kt_slider_team","numeric",1041,0,215,0.164131558483143,0.13714285714286,0.13714285714286,NA,0.176798763349598,NA,0,1,1,1.38911734357437,9.16184965952795,2.61497141659704,8.63167674382585,NA,NA
"kt_slider_personal_ecr","numeric",1041,0,206,0.152210786331824,0.125,0.125,NA,0.163839654678336,NA,0,1,1,1.79203288622954,11.819257721107,4.81044464301772,15.8786451312849,NA,NA
"kt_slider_thematic","numeric",1041,0,255,0.0871181313616472,0.055555555555556,0.055555555555556,NA,0.105993427288384,NA,0,0.7375,0.7375,1.47969738171598,9.75926549012466,3.03531552621793,10.0191773690298,NA,NA
"kt_slider_thematic_co","numeric",1041,0,202,0.0504057869763922,0,0,NA,0.0830918718596265,NA,0,0.67333333333333,0.67333333333333,2.40735048087741,15.8775522353201,8.72329778793426,28.7944587721597,NA,NA
"kt_slider_small_first","numeric",1041,0,193,0.159878779561777,0.1,0.1,NA,0.197864381973083,NA,0,1,1,1.85873795924409,12.2592074872763,4.35625512268988,14.3794252564439,NA,NA
"kt_slider_small_second","numeric",1041,0,159,0.102145373038745,0,0,NA,0.162343305700189,NA,0,1,1,2.45862581641503,16.215735987478,8.05119138263621,26.5759239189042,NA,NA
"kt_slider_award","numeric",1041,0,42,0.0943570742418005,0,0,NA,0.181767117427396,NA,0,1,1,3.06772137024779,20.2329933619655,10.7622968428203,35.5249264977484,NA,NA
"kt_slider_first_ecr","numeric",1041,0,255,0.260148895292988,0.23333333333333,0.23333333333333,NA,0.236230600882664,NA,0,1,1,1.11020051993042,7.32226856325886,1.19106601426807,3.93155227260494,NA,NA
"kt_slider_rolling_ecr","numeric",1041,0,410,0.2726828321641,0.26222222222222,0.26222222222222,NA,0.169442471762099,NA,0,1,1,0.448688941272954,2.95930408100581,0.302443123442588,0.998324975324852,NA,NA
"kt_slider_rolling_senior","numeric",1041,0,338,0.157543789063962,0.14111111111111,0.14111111111111,NA,0.129920293909478,NA,0,1,1,0.997573227956422,6.57944124100374,2.2196193904898,7.32667169952018,NA,NA
"work_life","numeric",1041,0,155,2.43747460774896,2.81776666666667,2.81776666666667,NA,0.636932027301729,NA,1,3,2,-0.775446001365617,-5.11441291583986,-0.362129485038727,-1.19534180542979,NA,NA
"grade","numeric",1041,0,181,7.58715741274416,7.9598,7.9598,NA,1.07664016479488,NA,1,10,9,-0.836475226433092,-5.51692792833474,3.98891032032878,13.1668683744143,NA,NA
"ct","numeric",1041,0,977,80.3938653154518,42.7000007629395,42.7000007629395,NA,158.704750707421,NA,6.81666660308838,1433.96667480469,1427.1500082016,5.52573240286884,36.4446745755833,34.6716074909153,114.446416565367,NA,NA
"versie","integer",1041,0,3,2.10374639769452,2,2,NA,0.850788881121171,NA,1,3,2,-0.198821859412198,-1.31131901375245,-1.59164202822305,-5.25380101377444,NA,NA
"age","numeric",1041,0,142,2.5735604867115,2.12856666666667,2.12856666666667,NA,0.910873926306617,NA,1,6,5,0.725130262564239,4.78255813298895,0.478316598381516,1.57886018647516,NA,NA
"sex","factor",1041,0,3,NA,NA,537,"Man",NA,0.499497545864512,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quit","numeric",1041,0,105,2.10033147614473,2,2,NA,0.717425572505019,NA,1,3,2,-0.180576687052348,-1.19098394850663,-1.05561975374589,-3.48446197954585,NA,NA
"major_changes","numeric",1041,0,152,2.79298123599103,3,3,NA,0.396167824170839,NA,1,3,2,-1.70023461635512,-11.2138071078204,1.54370385462533,5.0955634072145,NA,NA
"grant_no","numeric",1041,0,2,0.0970220941402498,0,0,NA,0.296130117729967,NA,0,1,1,2.71901286102248,17.9331049102817,5.39821931519411,17.8188120242129,NA,NA
"grant_pers_nl","numeric",1041,0,2,0.453410182516811,0,0,NA,0.498063938060383,NA,0,1,1,0.186903965770142,1.23271517922987,-1.9669536248736,-6.49265523601772,NA,NA
"grant_pers_foreign","numeric",1041,0,2,0.303554274735831,0,0,NA,0.460013429134534,NA,0,1,1,0.853266466431658,5.62767365991425,-1.27315658285522,-4.20252244354593,NA,NA
"grant_consortium","numeric",1041,0,2,0.263208453410183,0,0,NA,0.440586239446955,NA,0,1,1,1.07386050651124,7.08258993487532,-0.847635095912108,-2.79793197669303,NA,NA
"grant_faculty","numeric",1041,0,2,0.18059558117195,0,0,NA,0.384867648004421,NA,0,1,1,1.65821988869565,10.9367012030654,0.750416828228196,2.47702726052054,NA,NA
"grant_university","numeric",1041,0,2,0.174831892411143,0,0,NA,0.380005814202954,NA,0,1,1,1.70974092581038,11.2765054669251,0.924104509309199,3.05034745360583,NA,NA
"grant_foundation","numeric",1041,0,2,0.184438040345821,0,0,NA,0.38802742797286,NA,0,1,1,1.62493062830357,10.7171436542378,0.641018085710963,2.11591639881229,NA,NA
"grant_private","numeric",1041,0,2,0.130643611911623,0,0,NA,0.337172160972157,NA,0,1,1,2.18880217046382,14.4361284617166,2.79354122591083,9.22111220014492,NA,NA
"nogrant_want","numeric",1041,0,2,0.00576368876080692,0,0,NA,0.0757362444189547,NA,0,1,1,13.0389761022682,85.9978743449933,168.17645335198,555.128355149091,NA,NA
"nogrant_necessary","numeric",1041,0,2,0.0201729106628242,0,0,NA,0.140659056136299,NA,0,1,1,6.81600137956769,44.9545750815048,44.5006255329301,146.890712479817,NA,NA
"nogrant_early","numeric",1041,0,2,0.0537944284341979,0,0,NA,0.225720027415868,NA,0,1,1,3.94982177697087,26.0508397436184,13.6141728130943,44.9385940172671,NA,NA
"nogrant_education","numeric",1041,0,2,0.00288184438040346,0,0,NA,0.0536311697800785,NA,0,1,1,18.520596086259,122.151607804804,341.340378775267,1126.71969968886,NA,NA
"nogrant_time","numeric",1041,0,2,0.021133525456292,0,0,NA,0.143898543452168,NA,0,1,1,6.64921905179936,43.8545710969978,42.2527053400812,139.470623553629,NA,NA
"nogrant_waste","numeric",1041,0,2,0.0220941402497598,0,0,NA,0.147060410056599,NA,0,1,1,6.4932061066296,42.8255960034268,40.2003453570803,132.696053161467,NA,NA
"successful_applications","ordered, factor",1041,0,6,NA,NA,459,"Ja, meer dan 30% van mijn aanvragen",NA,0.716548504587605,NA,NA,NA,NA,NA,NA,NA,NA,NA
"body_nwo","numeric",1041,0,2,0.297790585975024,0,0,NA,0.457506744746145,NA,0,1,1,0.883113401016969,5.82452753171514,-1.22128113421284,-4.03128840986589,NA,NA
"body_university","numeric",1041,0,2,0.181556195965418,0,0,NA,0.385663612594398,NA,0,1,1,1.6498206821504,10.8813046824022,0.722605195948185,2.38522471995143,NA,NA
"body_foreign","numeric",1041,0,2,0.23342939481268,0,0,NA,0.423216457915449,NA,0,1,1,1.2585263570902,8.30054374423445,-0.41650874551592,-1.37484059269312,NA,NA
"body_award","numeric",1041,0,2,0.144092219020173,0,0,NA,0.351352013856931,NA,0,1,1,2.02398663834096,13.3490963734271,2.09854056875367,6.92700643239093,NA,NA
"body_none","numeric",1041,0,2,0.257444764649376,0,0,NA,0.437436592189665,NA,0,1,1,1.10791935347854,7.30722325108479,-0.773254738672886,-2.55241219941962,NA,NA
"rol_supervisor","numeric",1041,0,131,3.05469097022094,3,3,NA,0.917793243741818,NA,1,4,3,-0.691559898456508,-4.56114657953498,-0.457819906841129,-1.5112033032788,NA,NA
"rol_head","numeric",1041,0,130,2.6311013768812,3,3,NA,0.916065229209054,NA,1,4,3,-0.179600795155294,-1.18454750533204,-0.781618849824081,-2.58002103034156,NA,NA
"rol_dean","numeric",1041,0,130,1.96014130643612,2,2,NA,0.863301414575189,NA,1,4,3,0.715313130256787,4.71780975827128,-0.0671687578641524,-0.221715236154345,NA,NA
"rol_colleagues","numeric",1041,0,131,2.96707159782261,3,3,NA,0.720354623155657,NA,1,4,3,-0.357077525738812,-2.3550858555961,-0.0375384983697642,-0.123909646323438,NA,NA
"rol_nwo","numeric",1041,0,131,2.63232766570605,3,3,NA,0.990097685263537,NA,1,4,3,-0.253697698559649,-1.67324969623584,-0.965797023018169,-3.18796895825756,NA,NA
"rol_ocw","numeric",1041,0,135,2.0166325648415,2,2,NA,0.897758876282409,NA,1,4,3,0.63926555171979,4.2162419931361,-0.321047896475356,-1.05973688433917,NA,NA
"rol_mentor","numeric",1041,0,131,2.82102439961575,3,3,NA,0.969785751647512,NA,1,4,3,-0.476403513127005,-3.14209406766859,-0.740905357616112,-2.44563114691072,NA,NA
"carreer_success","numeric",1041,0,255,1.85617691322446,2,2,NA,0.322841695994623,NA,1,2,1,-2.10285609875269,-13.8692757105888,2.61718894832382,8.63899652442201,NA,NA
"need_no","numeric",1041,0,2,0.113352545629203,0,0,NA,0.317175636274159,NA,0,1,1,2.43572324560506,16.0646832981222,3.93653198749891,12.993974386167,NA,NA
"need_security","numeric",1041,0,2,0.147934678194044,0,0,NA,0.355205871451436,NA,0,1,1,1.98041277421649,13.0617072669274,1.92388563673935,6.35049347118068,NA,NA
"need_team","numeric",1041,0,2,0.278578290105668,0,0,NA,0.448514959733954,NA,0,1,1,0.986406380092328,6.50579088901951,-1.02798718555518,-3.39325050598631,NA,NA
"need_freedom","numeric",1041,0,2,0.249759846301633,0,0,NA,0.433082022744643,NA,0,1,1,1.15451464699661,7.61454003467322,-0.667734598147478,-2.20410409280036,NA,NA
"need_equipment","numeric",1041,0,2,0.0778097982708934,0,0,NA,0.268000800694946,NA,0,1,1,3.14763715990362,20.7600737080832,7.91522594099459,26.1271198772488,NA,NA
"award_fair","numeric",1041,0,128,2.67104069804675,3,3,NA,0.965338688009293,NA,1,5,4,0.1271994610023,0.838937289111511,-0.662870376189845,-2.18804793582594,NA,NA
"award_lottery","numeric",1041,0,128,3.8576432596862,4,4,NA,0.954696673847363,NA,1,5,4,-0.851435056871981,-5.61559469543482,0.375764387445323,1.240348825109,NA,NA
"award_time","numeric",1041,0,128,3.87364008965738,4,4,NA,0.969994269576337,NA,1,5,4,-0.698872428332502,-4.60937598194262,0.188910371255202,0.623568291370853,NA,NA
"award_bandwagon","numeric",1041,0,127,3.84764972782581,4,4,NA,1.00994002969129,NA,1,5,4,-0.89678452026645,-5.91469467261263,0.392282048931206,1.29487145338905,NA,NA
"who_researcher","numeric",1041,0,127,3.29179916746718,3.02526666666667,3.02526666666667,NA,0.763671605990634,NA,1,4,3,-1.09199342189379,-7.20218461518964,1.11367601479276,3.67609806211685,NA,NA
"who_manager","numeric",1041,0,127,2.97643096381684,3,3,NA,0.788796614113352,NA,1,4,3,-0.764698704737879,-5.04352969175144,0.531459208320816,1.75427695294835,NA,NA
"who_university","numeric",1041,0,127,2.73696352865834,3,3,NA,0.827640168073372,NA,1,4,3,-0.660167288474638,-4.35409828775135,0.0198153731791262,0.0654079408879637,NA,NA
"who_committee","numeric",1041,0,127,2.63596727505604,3,3,NA,0.847866003378163,NA,1,4,3,-0.500736658795623,-3.30258203752263,-0.344198827099449,-1.13615506168428,NA,NA
"who_government","numeric",1041,0,126,2.08606237592059,2,2,NA,0.834537217656977,NA,1,4,3,0.114220433474474,0.753334802405211,-0.999367562292587,-3.2987808934449,NA,NA
"who_society","numeric",1041,0,127,2.45409657380724,2.94996666666667,2.94996666666667,NA,0.866920469200494,NA,1,4,3,-0.266951521514472,-1.76066458158572,-0.706000539700345,-2.33041493340309,NA,NA
"co_private","numeric",1041,0,131,3.22684707012488,3,3,NA,1.06621875647465,NA,1,5,4,-0.0445800730252591,-0.29402550386222,-0.705544939752425,-2.32891105789225,NA,NA
"co_connections","numeric",1041,0,133,3.18625683637528,3,3,NA,1.03293502831212,NA,1,5,4,-0.40804233504426,-2.69122154848261,-0.184434929245179,-0.608795445873932,NA,NA
"co_irrelevant","numeric",1041,0,133,2.7215227665706,2.98986666666667,2.98986666666667,NA,1.1365465058232,NA,1,5,4,0.287091626647764,1.89349757529345,-0.598494842704014,-1.97555276599951,NA,NA
"time_research","numeric",1041,0,144,3.03738815241755,3,3,NA,0.505717920422888,NA,1,4,3,-0.244035648108136,-1.60952415566217,2.19443037934733,7.24352608641768,NA,NA
"time_education","numeric",1041,0,143,2.96114655779699,3,3,NA,0.542207948164272,NA,1,4,3,-1.33363737172345,-8.7959344518861,4.80049877310746,15.8458151227209,NA,NA
"time_phds","numeric",1041,0,145,2.63735129682997,3,3,NA,0.822668461852519,NA,1,4,3,-0.996393985014971,-6.57166360681638,0.0695922601295176,0.229714898410609,NA,NA
"time_management_low","numeric",1041,0,149,2.52911777137368,3,3,NA,0.750893443287476,NA,1,4,3,-1.00566353931664,-6.63280045988038,-0.128303625701672,-0.423513394864889,NA,NA
"time_management_hi","numeric",1041,0,154,1.8881186039065,1.89143333333333,1.89143333333333,NA,0.891216364768949,NA,1,4,3,0.475015238415932,3.13293777554698,-1.08320827006036,-3.57552804365533,NA,NA
"time_service","numeric",1041,0,147,2.10088267691322,2,2,NA,0.771151756623445,NA,1,4,3,-0.0834507549547302,-0.550395021994349,-1.12423670595443,-3.71095751477484,NA,NA
"time_admin","numeric",1041,0,146,2.64566516170349,3,3,NA,0.655038315704918,NA,1,4,3,-1.10105130279193,-7.26192538756324,0.888094572952251,2.93148338946114,NA,NA
"time_involvement","numeric",1041,0,150,1.62584639769452,1,1,NA,0.763039028494945,NA,1,4,3,0.856431613600755,5.64854921995796,-0.511586876038413,-1.68868099755132,NA,NA
"time_patients","numeric",1041,0,150,1.96648571886007,1,1,NA,1.32364916931582,NA,1,4,3,0.786575797773042,5.18781889690954,-1.28849494744713,-4.2531523678717,NA,NA
"review_info","numeric",1041,0,156,2.49698331732309,2,2,NA,1.3955067477743,NA,1,5,4,0.297253603074005,1.96052035108093,-1.42718424057485,-4.71094748506118,NA,NA
"review_confidence","numeric",1041,0,166,3.80546487351905,4,4,NA,0.820234744481404,NA,1,5,4,-0.831557168186487,-5.48449113638148,1.24971983259425,4.12516081316845,NA,NA
"review_informative","numeric",1041,0,180,3.63274031380083,4,4,NA,0.901467721917147,NA,1,5,4,-0.644947373939811,-4.25371614981033,0.36326497277284,1.19908990110886,NA,NA
"review_more","numeric",1041,0,176,4.09739388408581,4,4,NA,0.738678270779759,NA,1,5,4,-0.797103265409181,-5.25725225055961,1.49475422162456,4.93398710618503,NA,NA
"review_government","numeric",1041,0,184,4.03556352865834,4,4,NA,0.789927971668243,NA,1,5,4,-0.928693876424294,-6.12515113635403,1.80797361315321,5.96788312524417,NA,NA
"language","factor",1041,0,3,NA,NA,750,"nl",NA,0.402793811093855,NA,NA,NA,NA,NA,NA,NA,NA,NA
"discipline","factor",1041,0,4,NA,NA,741,"Beta and medicine",NA,0.443259593921089,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pos5","factor",1041,0,6,NA,NA,564,"Assistant, associate (permanent)",NA,0.650497701814464,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pos9","factor",1041,0,9,NA,NA,379,"Assistant prof/UD (tenured)",NA,0.787466053202003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"institution","factor",1041,0,20,NA,NA,174,"Technische Universiteit Delft",NA,0.915734427382228,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kt_funds_personal_senior","numeric",1041,0,120,34.9154658981748,20,20,NA,49.6060689622116,NA,0,350,350,2.5393873091818,16.7483941235461,9.12997750328697,30.1368550289279,NA,NA
"kt_funds_team","numeric",1041,0,143,40.6013448607109,30,30,NA,48.0186217695922,NA,0,350,350,1.98483102856418,13.0908476288114,6.27566575318221,20.7151473205241,NA,NA
"kt_funds_personal_ecr","numeric",1041,0,131,37.6436119116234,25,25,NA,44.4319789117981,NA,0,350,350,2.32068924078105,15.3059826290923,8.90428091429446,29.3918602706668,NA,NA
"kt_funds_thematic","numeric",1041,0,183,58.6753121998079,30,30,NA,78.080261070085,NA,0,630,630,1.93672051075996,12.7735372639216,5.41688572475521,17.8804273873013,NA,NA
"kt_funds_thematic_co","numeric",1041,0,145,33.3976945244957,0,0,NA,60.1278074225969,NA,0,606,606,3.11537751074139,20.5473069054364,15.4918503160379,51.1365605157518,NA,NA
"kt_funds_small_first","numeric",1041,0,135,37.4744522184506,20,20,NA,50.9319972373071,NA,0,350,350,2.36156764192543,15.5755939526706,7.87935360267722,26.0087100061369,NA,NA
"kt_funds_small_second","numeric",1041,0,109,25.4610951008646,0,0,NA,42.863318933016,NA,0,350,350,2.89159473646174,19.0713595034217,12.3060930854503,40.6207948656161,NA,NA
"kt_funds_award","numeric",1041,0,38,5.61287223823247,0,0,NA,14.3672633867095,NA,0,273,273,9.10149899415852,60.0284532091879,136.211326595484,449.615675551028,NA,NA
"kt_funds_first_ecr","numeric",1041,0,175,70.9593339419846,50,50,NA,80.722620983327,NA,0,900,900,3.23231119650707,21.3185368192197,20.7945775420049,68.6401657118635,NA,NA
"kt_funds_rolling_ecr","numeric",1041,0,294,179.641690682037,151,151,NA,132.414433004518,NA,0,800,800,1.02918973000361,6.78796620101263,1.37212235392522,4.52919543857674,NA,NA
"kt_funds_rolling_senior","numeric",1041,0,231,97.3591898790812,85,85,NA,90.9771388818044,NA,0,550,550,1.39910419144458,9.22771738422573,2.62858383785805,8.67660955620005,NA,NA
"funds_spent","numeric",1041,0,165,621.74206346554,550,550,NA,245.848751619412,NA,0,1236.91271972656,1236.91271972656,-0.236972290451938,-1.56293815539595,-0.765837775517998,-2.52792977947134,NA,NA
"id","integer",1041,0,1041,1059.08357348703,1069,1069,NA,625.183002230537,NA,1,2170,2169,0.0262235521330026,0.172956045284954,-1.19489714649978,-3.94419833625867,NA,NA
"applied_grant","numeric",1041,0,93,0.879562439961575,1,1,NA,0.311817557970384,NA,0,1,1,-2.41526449140072,-15.9297486713908,3.94696422463883,13.0284098289926,NA,NA
"got_grant","numeric",1041,0,201,0.897782548831252,1,1,NA,0.282402180749297,NA,0,1,1,-2.79149354471014,-18.4111474098861,5.95322825311731,19.6508235374866,NA,NA
"quit_ever","integer",1041,0,2,0.783861671469741,1,1,NA,0.411807549432858,NA,0,1,1,-1.37728893090662,-9.08383599201885,-0.103171541455175,-0.340555689959395,NA,NA
"success_chance","character",1041,0,4,NA,NA,467,"low",NA,0.643781703287222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"invested_time","character",1041,0,4,NA,NA,368,"moderate",NA,0.664339413535902,NA,NA,NA,NA,NA,NA,NA,NA,NA
"funds_available","numeric",1041,0,3,656.676272814601,550,550,NA,214.377676937623,NA,400,900,500,0.116881274372712,0.770884237224629,-1.7387367429004,-5.73934132207824,NA,NA
"kt_personal_senior","numeric",1041,0,200,0.0536735510726865,0.0333333333333333,0.0333333333333333,NA,0.0706441686898197,NA,0,0.388888888888889,0.388888888888889,2.0213264848544,13.3315514723949,5.10574186786442,16.8533824351222,NA,NA
"kt_team","numeric",1041,0,230,0.0618582316925256,0.0511111111111111,0.0511111111111111,NA,0.0665816748656163,NA,0,0.388888888888889,0.388888888888889,1.39348953637701,9.19068622493804,2.66590332503541,8.79979627538015,NA,NA
"kt_personal_ecr","numeric",1041,0,221,0.0574403982184962,0.0466666666666667,0.0466666666666667,NA,0.0618351596849566,NA,0,0.388888888888889,0.388888888888889,1.79668933946505,11.8499691111042,4.87500156758019,16.0917390492,NA,NA
"kt_thematic","numeric",1041,0,255,0.0871181313616472,0.0555555555555556,0.0555555555555556,NA,0.105993427288384,NA,0,0.7375,0.7375,1.47969738171598,9.75926549012465,3.03531552621791,10.0191773690297,NA,NA
"kt_thematic_co","numeric",1041,0,202,0.0504057869763922,0,0,NA,0.0830918718596265,NA,0,0.673333333333333,0.673333333333333,2.40735048087741,15.8775522353201,8.72329778793421,28.7944587721596,NA,NA
"kt_small_first","numeric",1041,0,211,0.0564699138988014,0.0363636363636364,0.0363636363636364,NA,0.0698241050723976,NA,0,0.388888888888889,0.388888888888889,1.86081099785582,12.2728801033349,4.57986521153547,15.1175327521217,NA,NA
"kt_small_second","numeric",1041,0,171,0.0384856004812777,0,0,NA,0.0611757005967488,NA,0,0.388888888888889,0.388888888888889,2.46544969761006,16.2607425334639,8.10947385561178,26.768306697302,NA,NA
"kt_award","numeric",1041,0,77,0.00901738324648987,0,0,NA,0.0209140620830829,NA,0,0.303333333333333,0.303333333333333,6.3490967478206,41.8751303814645,64.1724533198741,211.824828906252,NA,NA
"kt_first_ecr","numeric",1041,0,276,0.108977115001743,0.0909090909090909,0.0909090909090909,NA,0.112931223267005,NA,0,1,1,2.43356143408509,16.0504251850623,11.547356247854,38.1163043483595,NA,NA
"kt_rolling_ecr","numeric",1041,0,410,0.2726828321641,0.262222222222222,0.262222222222222,NA,0.169442471762099,NA,0,1,1,0.448688941272947,2.95930408100577,0.302443123442578,0.99832497532482,NA,NA
"kt_rolling_senior","numeric",1041,0,338,0.150003798387852,0.1275,0.1275,NA,0.12451612474497,NA,0,1,1,0.95676330703091,6.31028157507178,2.0170737258663,6.65809509795694,NA,NA
